source_label,economic_class,suggested_transformation,approved_transformation,unit,source_file,source_vendor,source_field,availability_timestamp_or_timezone,availability_lag_trading_days,missing_value_rule,sentinel_value_rule,observed_start,observed_end,observations,missing_fraction,nonpositive_observations,pilot_eligible,pilot_exclusion_reason,confirmatory_eligible,exclusion_reason,reviewed_by,reviewed_on
Generic 1st 'CT' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,310,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'FN' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'FV' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'GX' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'HG' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'HO' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'KC' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'LC' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'NG' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'OE' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'QS' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'RX' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5814,0.009708737864077669,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'S ' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,2007,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'SB' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'TY' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5814,0.009708737864077669,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'US' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5814,0.009708737864077669,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'W ' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'Z ' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Global Aggregate,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5870,0.00017032873445750298,0,True,,True,,Rule-based audit,2026-09-03
Global High Yield,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5870,0.00017032873445750298,0,True,,True,,Rule-based audit,2026-09-03
Gold Spot   $/Oz,commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Government-Related,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
HANG SENG INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
IBEX 35 INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
INDIA GOVERNMENT BOND,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Indian Rupee Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Japanese Yen Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
LME ALUMINUM  3MO ($),commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
LME COPPER    3MO ($),commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
LME COPPER   SPOT ($),commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
MSCI INDIA,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Mexican Peso Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
NETHERLANDS GOVERNMENT,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,675,True,,True,,Rule-based audit,2026-09-03
NIKKEI 225,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
NOK-SEK X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
New Zealand Dollar Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Norwegian Krone Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Pan-European High Yield,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Polish Zloty Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
RF Global Inflation-Linked,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
RF Global Treasury,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
Russian Ruble SPOT (TOM),discontinued_or_truncated_market_series,EXCLUDE,EXCLUDE,source level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-07-03,5815,0.009538409129620166,146,False,Series becomes a persistent -1 sentinel after December 2022.,False,Series becomes a persistent -1 sentinel after December 2022.,Rule-based audit,2026-09-03
S&P CoreLogic Case-Shiller 20-,macro_release,EXCLUDE,EXCLUDE,published level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-07-03,5815,0.009538409129620166,196,False,Release vintage and publication timestamp are unavailable.,False,Release vintage and publication timestamp are unavailable.,Rule-based audit,2026-09-03
S&P/BMV IPC,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
S. African Rand Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Silver Spot  $/Oz,commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Singapore Dollar Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
South Korean Won Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Swedish Krona Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Swiss Franc Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
TR/CC CRB ER Index,commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Treasury,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Turkish Lira Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
U.S. Aggregate,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
U.S. Corporate High Yield,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
U.S. TIPS,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
U.S. Treasury,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
