source_label,economic_class,suggested_transformation,approved_transformation,unit,source_file,source_vendor,source_field,availability_timestamp_or_timezone,availability_lag_trading_days,missing_value_rule,sentinel_value_rule,observed_start,observed_end,observations,missing_fraction,nonpositive_observations,pilot_eligible,pilot_exclusion_reason,confirmatory_eligible,exclusion_reason,reviewed_by,reviewed_on,pilot_applied_lag_asset_sessions
GERMANY GOVT BND 2 YR BKO,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,GERMANY GOVT BND 2 YR BKO,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,2081,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
GERMANY GOVT BND 5 YR OBL,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,GERMANY GOVT BND 5 YR OBL,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,1720,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Generic 1st 'C ' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'C ' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'CF' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'CF' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'CO' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'CO' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'CT' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'CT' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,310,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'FN' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'FN' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'FV' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'FV' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'GX' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'GX' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'HG' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'HG' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'HO' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'HO' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'KC' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'KC' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'LC' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'LC' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'NG' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'NG' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'OE' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'OE' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'QS' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'QS' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'RX' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'RX' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5813,0.009710391822827938,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'S ' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'S ' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,2007,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'SB' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'SB' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'TY' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'TY' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5813,0.009710391822827938,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'US' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'US' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5813,0.009710391822827938,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'W ' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'W ' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Generic 1st 'Z ' Future,generic_future,EXCLUDE,EXCLUDE,contract quotation,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Generic 1st 'Z ' Future,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Continuous-contract roll construction is undocumented.,False,Continuous-contract roll construction is undocumented.,Rule-based audit,2026-09-03,0
Global Aggregate,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Global Aggregate,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5869,0.00017035775127768313,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Global High Yield,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Global High Yield,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5869,0.00017035775127768313,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Gold Spot   $/Oz,commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Gold Spot   $/Oz,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Government-Related,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Government-Related,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
HANG SENG INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,HANG SENG INDEX,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
IBEX 35 INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,IBEX 35 INDEX,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
INDIA GOVERNMENT BOND,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,INDIA GOVERNMENT BOND,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Indian Rupee Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Indian Rupee Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Japanese Yen Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Japanese Yen Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
LME ALUMINUM  3MO ($),commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,LME ALUMINUM  3MO ($),Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
LME COPPER    3MO ($),commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,LME COPPER    3MO ($),Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
LME COPPER   SPOT ($),commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,LME COPPER   SPOT ($),Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
MSCI INDIA,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,MSCI INDIA,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Mexican Peso Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Mexican Peso Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
NETHERLANDS GOVERNMENT,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,NETHERLANDS GOVERNMENT,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,675,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
NIKKEI 225,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,NIKKEI 225,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
NOK-SEK X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,NOK-SEK X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
New Zealand Dollar Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,New Zealand Dollar Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Norwegian Krone Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Norwegian Krone Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Pan-European High Yield,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Pan-European High Yield,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Polish Zloty Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Polish Zloty Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
RF Global Inflation-Linked,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,RF Global Inflation-Linked,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
RF Global Treasury,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,RF Global Treasury,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Russian Ruble SPOT (TOM),discontinued_or_truncated_market_series,EXCLUDE,EXCLUDE,source level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Russian Ruble SPOT (TOM),Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-06-30,5814,0.009540034071550256,145,False,Series becomes a persistent -1 sentinel after December 2022.,False,Series becomes a persistent -1 sentinel after December 2022.,Rule-based audit,2026-09-03,0
S&P CoreLogic Case-Shiller 20-,macro_release,EXCLUDE,EXCLUDE,published level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,S&P CoreLogic Case-Shiller 20-,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-06-30,5814,0.009540034071550256,195,False,Release vintage and publication timestamp are unavailable.,False,Release vintage and publication timestamp are unavailable.,Rule-based audit,2026-09-03,0
S&P/BMV IPC,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,S&P/BMV IPC,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
S. African Rand Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,S. African Rand Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Silver Spot  $/Oz,commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Silver Spot  $/Oz,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Singapore Dollar Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Singapore Dollar Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
South Korean Won Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,South Korean Won Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Swedish Krona Spot,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Swedish Krona Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
